danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.806,0.599,0,-9.379,0,0.0323,0.195,0.000455,0.0837,0.556,109.016,audio_features,7F8JbSCPBXm3IxMx2UMMhH,spotify:track:7F8JbSCPBXm3IxMx2UMMhH,https://api.spotify.com/v1/tracks/7F8JbSCPBXm3IxMx2UMMhH,https://api.spotify.com/v1/audio-analysis/7F8JbSCPBXm3IxMx2UMMhH,244080,4
0.377,0.658,4,-5.589,1,0.0318,0.117,0.0,0.0677,0.307,143.713,audio_features,0Z2CgMqTyPxSMJVcZZ2rGX,spotify:track:0Z2CgMqTyPxSMJVcZZ2rGX,https://api.spotify.com/v1/tracks/0Z2CgMqTyPxSMJVcZZ2rGX,https://api.spotify.com/v1/audio-analysis/0Z2CgMqTyPxSMJVcZZ2rGX,353320,4
0.476,0.854,4,-5.586,0,0.0632,0.01,6.73e-05,0.603,0.213,139.878,audio_features,2JHGoLWHlAaFo414GKztK2,spotify:track:2JHGoLWHlAaFo414GKztK2,https://api.spotify.com/v1/tracks/2JHGoLWHlAaFo414GKztK2,https://api.spotify.com/v1/audio-analysis/2JHGoLWHlAaFo414GKztK2,214821,4
0.322,0.28,6,-9.367,0,0.0281,0.468,1.1e-06,0.102,0.175,85.794,audio_features,1Cj2vqUwlJVG27gJrun92y,spotify:track:1Cj2vqUwlJVG27gJrun92y,https://api.spotify.com/v1/tracks/1Cj2vqUwlJVG27gJrun92y,https://api.spotify.com/v1/audio-analysis/1Cj2vqUwlJVG27gJrun92y,248467,4
0.287,0.264,9,-7.469,1,0.0355,0.913,0.0,0.106,0.17,144.23,audio_features,46SOM5rxqJ6YWAQUAX93xa,spotify:track:46SOM5rxqJ6YWAQUAX93xa,https://api.spotify.com/v1/tracks/46SOM5rxqJ6YWAQUAX93xa,https://api.spotify.com/v1/audio-analysis/46SOM5rxqJ6YWAQUAX93xa,264627,3
0.413,0.873,8,-4.151,1,0.0536,0.000264,0.00249,0.204,0.48,116.68,audio_features,0snQkGI5qnAmohLE7jTsTn,spotify:track:0snQkGI5qnAmohLE7jTsTn,https://api.spotify.com/v1/tracks/0snQkGI5qnAmohLE7jTsTn,https://api.spotify.com/v1/audio-analysis/0snQkGI5qnAmohLE7jTsTn,218933,3
0.556,0.545,10,-6.768,0,0.0255,0.0635,0.0,0.124,0.193,143.991,audio_features,5IXk34xSm6rxNgXkCveC3r,spotify:track:5IXk34xSm6rxNgXkCveC3r,https://api.spotify.com/v1/tracks/5IXk34xSm6rxNgXkCveC3r,https://api.spotify.com/v1/audio-analysis/5IXk34xSm6rxNgXkCveC3r,238560,4
0.559,0.868,5,-5.276,1,0.17,0.0475,0.000176,0.776,0.609,156.295,audio_features,5T8EDUDqKcs6OSOwEsfqG7,spotify:track:5T8EDUDqKcs6OSOwEsfqG7,https://api.spotify.com/v1/tracks/5T8EDUDqKcs6OSOwEsfqG7,https://api.spotify.com/v1/audio-analysis/5T8EDUDqKcs6OSOwEsfqG7,209413,4
0.574,0.844,2,-8.137,1,0.0523,0.000394,0.0116,0.156,0.47,140.08,audio_features,3TCxlxpXc4yMNBrqmWA3rZ,spotify:track:3TCxlxpXc4yMNBrqmWA3rZ,https://api.spotify.com/v1/tracks/3TCxlxpXc4yMNBrqmWA3rZ,https://api.spotify.com/v1/audio-analysis/3TCxlxpXc4yMNBrqmWA3rZ,210839,4
0.558,0.46,9,-7.032,1,0.0278,0.497,0.0,0.103,0.145,67.018,audio_features,03EnOL1O9EKi9CFNmPyrCm,spotify:track:03EnOL1O9EKi9CFNmPyrCm,https://api.spotify.com/v1/tracks/03EnOL1O9EKi9CFNmPyrCm,https://api.spotify.com/v1/audio-analysis/03EnOL1O9EKi9CFNmPyrCm,355640,3
